exp,phi_0,dV_ges,eps_0,V_dis_total,status
ye,0.00026,160,0.2,0.0004182317328882771,success
ye,0.000281,160,0.2,0.0004135736172428792,success
ye,0.000307,160,0.2,0.0004079716339571752,success
ye,0.00037,160,0.2,0.0003955569165688281,success
ye,0.000431,160,0.2,0.00038477459460995703,success
ye,0.000532,160,0.2,0.0003688573527844633,success
ye,0.0006889999999999999,160,0.2,0.00034770544877990914,success
ye,0.001281,160,0.2,0.00029117440605109666,success
ye,0.00018,160,0.2,0.0004382486779672888,success
ye,0.0002,160,0.2,0.00043284099750532214,success
ye,0.00025,160,0.2,0.0004205412029406508,success
ye,0.0003,160,0.2,0.0004095350391126231,success
ye,0.00035,160,0.2,0.00039941376601167216,success
ye,0.000252,200,0.2,0.0005901743611910003,success
ye,0.000283,200,0.2,0.0005810393495782704,success
ye,0.000325,200,0.2,0.000569310824420551,success
ye,0.000383,200,0.2,0.0005543122992903776,success
ye,0.000464,200,0.2,0.0005356699453026091,success
ye,0.000584,200,0.2,0.0005114127496576448,success
ye,0.000788,200,0.2,0.00047696492007414504,success
ye,0.001095,200,0.2,0.0004358855740214146,success
ye,0.0015,200,0.2,0.00039391430984096775,success
ye,0.00018,200,0.2,0.0006143515074976196,success
ye,0.0002,200,0.2,0.0006072388737652994,success
ye,0.00025,200,0.2,0.0005908481015589699,success
ye,0.0003,200,0.2,0.0005761009423108912,success
ye,0.00035,200,0.2,0.0005625874633822313,success
ye,0.00018,200,0.1,0.0003090070684452041,success
ye,0.000271,240,0.2,0.0007698029636318168,success
ye,0.000298,240,0.2,0.0007598431725103964,success
ye,0.000343,240,0.2,0.0007444124111543946,success
ye,0.000404,240,0.2,0.0007252024772323299,success
ye,0.000503,240,0.2,0.0006973741898543676,success
ye,0.00061,240,0.2,0.0006709724288978109,success
ye,0.0008039999999999999,240,0.2,0.0006298573160019389,success
ye,0.001092,240,0.2,0.0005804867119299231,success
ye,0.001416,240,0.2,0.0005357775350288219,success
ye,0.00018,240,0.2,0.000815604292386727,success
ye,0.0002,240,0.2,0.0008025239217242257,success
ye,0.00025,240,0.2,0.0007777407799207533,success
ye,0.0003,240,0.2,0.0007592393020337421,success
ye,0.00035,240,0.2,0.0007421921285734054,success
ye,0.00018,240,0.05,0.0002271922624973547,success
ye,0.0002,240,0.05,0.0002247436305227338,success
ye,0.00025,240,0.05,0.00021916616984138178,success
ye,0.0003,240,0.05,0.00021425091697287185,success
ye,0.00035,240,0.05,0.00020970708914112482,success
ye,0.00018,240,0.1,0.00040938154132880264,success
ye,0.000254,280,0.2,0.0010646122910819358,success
ye,0.000294,280,0.2,0.0010351162196262404,success
ye,0.000337,280,0.2,0.0010040689348884098,success
ye,0.000402,280,0.2,0.0009620308945297088,success
ye,0.000497,280,0.2,0.0009077400863473485,success
ye,0.000617,280,0.2,0.0008528478282875155,success
ye,0.0008,280,0.2,0.0007993409074725223,success
ye,0.001099,280,0.2,0.0007361392563990086,success
ye,0.001278,280,0.2,0.0007041660217750561,success
ye,0.00018,280,0.2,0.001127614231258096,success
ye,0.0002,280,0.2,0.0011097973537198763,success
ye,0.00025,280,0.2,0.0010682194798170021,success
ye,0.0003,280,0.2,0.0010303050910824099,success
ye,0.00035,280,0.2,0.0009945668741914177,success
ye,0.00018,280,0.05,0.0002889326819525355,success
ye,0.0002,280,0.05,0.0002859695572584184,success
ye,0.00025,280,0.05,0.000279229809860488,success
ye,0.0003,280,0.05,0.00027313323941806654,success
ye,0.00035,280,0.05,0.00026759277041106267,success
ye,0.00018,280,0.1,0.0005184365044556281,success
niba1,0.0007,2050,0.3,0.012813769068351293,success
niba1,0.000905,2350,0.5,0.021774483582681248,success
niba2,0.0006325,1600,0.3,0.00830093140520589,success
niba2,0.0006075,1500,0.3,0.007437843039336161,success
niba2,0.000738,1450,0.5,0.010097558395094334,success
niba2,0.000865,1850,0.5,0.01461541823723473,success
niba3,0.0006275,1600,0.3,0.010022758900549263,success
niba3,0.000585,1450,0.3,0.008606388368935057,success
niba3,0.0007075,1400,0.5,0.011871224929991847,success
niba3,0.000635,1150,0.5,0.008982531184085317,success
niba4,0.0006675,1600,0.3,0.008981903292790605,success
niba4,0.0006303,1500,0.3,0.008129772864938243,success
niba4,0.0007225,1350,0.5,0.01003400243791672,success
niba4,0.0006725,1200,0.5,0.008449719829736073,success
