exp,phi_0,dV_ges,eps_0,V_dis_total,status
2mmol_21C,0.000816497,989.5435891,0.500171616,0.014426686685318506,success
2mmol_21C,0.00068346,980.5870073,0.499845163,0.015114318616687786,success
2mmol_21C,0.000548987,991.1201578,0.500191781,0.01633684842328173,success
2mmol_21C,0.000620961,993.926823,0.399336039,0.012605855299735865,success
2mmol_21C,0.000647006,1003.109253,0.400319063,0.012627993855772655,success
2mmol_21C,0.00061865,1000.554233,0.400006465,0.012753636990793293,success
2mmol_21C,0.00062456,1008.064412,0.30172066,0.00961323468491352,success
2mmol_21C,0.000576559,998.3235942,0.299119898,0.009617931463420005,success
2mmol_21C,0.000496655,1008.950248,0.302319195,0.010314627186242046,success
2mmol_21C,0.000929618,1503.072066,0.499998618,0.0236516076231756,success
2mmol_21C,0.000953331,1498.638593,0.499945231,0.02336529298011207,success
2mmol_21C,0.00093358,1493.811374,0.500213637,0.023442177468461056,success
2mmol_21C,0.000776742,1493.105039,0.399238721,0.020187467176658057,success
2mmol_21C,0.000780867,1501.628884,0.399947042,0.020343611818555176,success
2mmol_21C,0.00073864,1494.634832,0.399263089,0.020524474279443664,success
2mmol_21C,0.000644763,1499.100005,0.299823764,0.01652320546217724,success
2mmol_21C,0.000612015,1499.705881,0.29997456,0.01676655833933445,success
2mmol_21C,0.000563798,1499.910856,0.299958359,0.017125313081844812,success
2mmol_21C,0.000813633,2004.54241,0.500211132,0.035322523216501596,success
2mmol_21C,0.000802791,1999.767649,0.500026091,0.03533210789280593,success
2mmol_21C,0.000800493,1978.16349,0.500336964,0.03490872197084903,success
2mmol_21C,0.000706288,2000.068326,0.399997534,0.03027174150008285,success
2mmol_21C,0.000681383,2000.556497,0.400029574,0.030530458432533436,success
2mmol_21C,0.0006818,2002.684821,0.40025025,0.030600857861757823,success
2mmol_21C,0.000573457,2001.080323,0.300308882,0.025084565516016268,success
2mmol_21C,0.001060833,905.1023872,0.669563558,0.015791065460116632,success
2mmol_21C,0.000802395,998.4437317,0.499859416,0.01467452490779583,success
2mmol_21C,0.000691448,995.6153772,0.500285857,0.015373178698730436,success
2mmol_21C,0.000595906,1000.709477,0.499898702,0.016160419255845854,success
2mmol_21C,0.000620887,998.966643,0.399515934,0.012697252640341957,success
2mmol_21C,0.00059944,999.5966291,0.400065471,0.012862689331435763,success
2mmol_21C,0.000616771,1003.679909,0.400382518,0.012831128820697084,success
2mmol_21C,0.000595618,1007.0927,0.300563236,0.009698760567269999,success
2mmol_21C,0.000578936,993.7884748,0.298400949,0.009518538603705877,success
